Condicao,Concentracao,Tempo_h,UFC_bruto,Grafico,Concentracao_Label
EAO,1000 µg/mL (4X CIM),0,627.7777777777778,4XCIM,1000 µg/mL (4X CIM)
EAO,1000 µg/mL (4X CIM),2,522.2222222222222,4XCIM,1000 µg/mL (4X CIM)
EAO,1000 µg/mL (4X CIM),4,688.8888888888889,4XCIM,1000 µg/mL (4X CIM)
EAO,1000 µg/mL (4X CIM),8,1050.0,4XCIM,1000 µg/mL (4X CIM)
EAO,250 µg/mL (CIM),0,1616.6666666666667,CIM,250 µg/mL (CIM)
EAO,250 µg/mL (CIM),2,1061.111111111111,CIM,250 µg/mL (CIM)
EAO,250 µg/mL (CIM),4,2055.5555555555557,CIM,250 µg/mL (CIM)
EAO,250 µg/mL (CIM),8,7800.0,CIM,250 µg/mL (CIM)
EAO,500 µg/mL (2X CIM),0,877.7777777777778,2XCIM,500 µg/mL (2X CIM)
EAO,500 µg/mL (2X CIM),2,700.0,2XCIM,500 µg/mL (2X CIM)
EAO,500 µg/mL (2X CIM),4,1133.3333333333333,2XCIM,500 µg/mL (2X CIM)
EAO,500 µg/mL (2X CIM),8,3038.8888888888887,2XCIM,500 µg/mL (2X CIM)
Nistatina,16 µg/mL (4X CIM),0,1107.142857142857,4XCIM,16 µg/mL (4X CIM)
Nistatina,16 µg/mL (4X CIM),2,1119.047619047619,4XCIM,16 µg/mL (4X CIM)
Nistatina,16 µg/mL (4X CIM),4,1783.3333333333333,4XCIM,16 µg/mL (4X CIM)
Nistatina,16 µg/mL (4X CIM),8,4652.142857142857,4XCIM,16 µg/mL (4X CIM)
Nistatina,16 µg/mL (4X CIM),24,5.555555555555555,4XCIM,16 µg/mL (4X CIM)
Nistatina,4 µg/mL (1X CIM),0,1402.7777777777778,Controle,4 µg/mL (1X CIM)
Nistatina,4 µg/mL (1X CIM),2,1338.888888888889,Controle,4 µg/mL (1X CIM)
Nistatina,4 µg/mL (1X CIM),4,2016.6666666666667,Controle,4 µg/mL (1X CIM)
Nistatina,4 µg/mL (1X CIM),8,5216.388888888889,Controle,4 µg/mL (1X CIM)
Nistatina,4 µg/mL (1X CIM),24,33.333333333333336,Controle,4 µg/mL (1X CIM)
Nistatina,4 µg/mL (X CIM),0,1355.5555555555557,Controle,4 µg/mL (X CIM)
Nistatina,4 µg/mL (X CIM),2,1455.5555555555557,Controle,4 µg/mL (X CIM)
Nistatina,4 µg/mL (X CIM),4,1833.3333333333333,Controle,4 µg/mL (X CIM)
Nistatina,4 µg/mL (X CIM),8,6644.444444444444,Controle,4 µg/mL (X CIM)
Nistatina,4 µg/mL (X CIM),24,33.333333333333336,Controle,4 µg/mL (X CIM)
Nistatina,8 µg/mL (2X CIM),0,1359.2592592592594,2XCIM,8 µg/mL (2X CIM)
Nistatina,8 µg/mL (2X CIM),2,1327.7777777777778,2XCIM,8 µg/mL (2X CIM)
Nistatina,8 µg/mL (2X CIM),4,1955.5555555555557,2XCIM,8 µg/mL (2X CIM)
Nistatina,8 µg/mL (2X CIM),8,5655.37037037037,2XCIM,8 µg/mL (2X CIM)
Nistatina,8 µg/mL (2X CIM),24,11.11111111111111,2XCIM,8 µg/mL (2X CIM)
